Rank,Locid,Cant,Type
1,ATL,"4,54E+07","0,00E+00"
2,DFW,"3,53E+07","0,00E+00"
3,DEN,"3,38E+07","0,00E+00"
4,ORD,"3,31E+07","0,00E+00"
5,LAX,"3,23E+07","0,00E+00"
6,JFK,"2,72E+07","0,00E+00"
7,LAS,"2,55E+07","0,00E+00"
8,MCO,"2,45E+07","0,00E+00"
9,MIA,"2,39E+07","0,00E+00"
10,CLT,"2,31E+07","0,00E+00"
11,SEA,"2,22E+07","0,00E+00"
12,PHX,"2,19E+07","0,00E+00"
13,EWR,"2,18E+07","0,00E+00"
14,SFO,"2,04E+07","0,00E+00"
15,IAH,"1,98E+07","0,00E+00"
16,BOS,"1,74E+07","0,00E+00"
17,FLL,"1,54E+07","0,00E+00"
18,MSP,"1,52E+07","0,00E+00"
19,LGA,"1,44E+07","0,00E+00"
20,DTW,"1,38E+07","0,00E+00"
21,PHL,"1,24E+07","0,00E+00"
22,SLC,"1,24E+07","0,00E+00"
23,DCA,"1,16E+07","0,00E+00"
24,SAN,"1,12E+07","0,00E+00"
25,BWI,"1,12E+07","0,00E+00"
26,TPA,"1,05E+07","0,00E+00"
27,AUS,"1,04E+07","0,00E+00"
28,IAD,"1,03E+07","0,00E+00"
29,BNA,"9,83E+06","1,00E+00"
30,MDW,"9,65E+06","1,00E+00"
31,HNL,"8,83E+06","1,00E+00"
32,DAL,"7,82E+06","1,00E+00"
33,PDX,"7,24E+06","1,00E+00"
34,STL,"6,71E+06","1,00E+00"
35,HOU,"6,46E+06","1,00E+00"
36,SMF,"6,04E+06","1,00E+00"
37,MSY,"5,93E+06","1,00E+00"
38,RDU,"5,85E+06","1,00E+00"
39,SJC,"5,59E+06","1,00E+00"
40,SNA,"5,54E+06","1,00E+00"
41,OAK,"5,51E+06","1,00E+00"
42,RSW,"5,13E+06","1,00E+00"
43,SJU,"5,04E+06","1,00E+00"
44,MCI,"4,80E+06","1,00E+00"
45,SAT,"4,75E+06","1,00E+00"
46,CLE,"4,24E+06","1,00E+00"
47,IND,"4,21E+06","1,00E+00"
48,OGG,"4,13E+06","1,00E+00"
49,PIT,"3,92E+06","1,00E+00"
50,CVG,"3,70E+06","1,00E+00"
51,CMH,"3,62E+06","1,00E+00"
52,PBI,"3,26E+06","1,00E+00"
53,JAX,"3,18E+06","1,00E+00"
54,BUR,"3,05E+06","1,00E+00"
55,BDL,"2,84E+06","1,00E+00"
56,ONT,"2,84E+06","1,00E+00"
57,MKE,"2,67E+06","1,00E+00"
